text,label
"sorry, i'll call later",ham
aww that's the first time u said u missed me without asking if i missed u first. you do love me! :),ham
want the latest video handset? 750 anytime any network mins? half price line rental? reply or call 08000930705 for delivery tomorrow,spam
"good afternoon on this glorious anniversary day, my sweet j !! i hope this finds you happy and content, my prey. i think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... you cougar-pen",ham
"urgent!! your 4* costa del sol holiday or £5000 await collection. call 09050090044 now toclaim. sae, tc s, pobox334, stockport, sk38xh, cost£1.50/pm, max10mins",spam
ya but it cant display internal subs so i gotta extract them,ham
what your plan for pongal?,ham
up to ü... ü wan come then come lor... but i din c any stripes skirt...,ham
mm umma ask vava also to come tell him can play later together,ham
huh so slow i tot u reach long ago liao... u 2 more days only i 4 more leh...,ham
ee msg na poortiyagi odalebeku: hanumanji 7 name 1-hanuman 2-bajarangabali 3-maruti 4-pavanaputra 5-sankatmochan 6-ramaduth 7-mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. don't neglet.,ham
important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com there's a fantastic surprise awaiting you!,spam
my exam is for february 4. wish you a great day.,ham
hey loverboy! i love you !! i had to tell ... i look at your picture and ache to feel you between my legs ... fuck i want you ... i need you ... i crave you .,ham
gud mrng dear hav a nice day,ham
no management puzzeles.,ham
"bangbabes ur order is on the way. u should receive a service msg 2 download ur content. if u do not, goto wap. bangb. tv on ur mobile internet/service menu",spam
jus came back fr lunch wif my sis only. u leh?,ham
"the last thing i ever wanted to do was hurt you. and i didn't think it would have. you'd laugh, be embarassed, delete the tag and keep going. but as far as i knew, it wasn't even up. the fact that you even felt like i would do it to hurt you shows you really don't know me at all. it was messy wednesday, but it wasn't bad. the problem i have with it is you have the time to clean it, but you choose not to. you skype, you take pictures, you sleep, you want to go out. i don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. you used to be good about at least making the bed.",ham
now that you have started dont stop. just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.,ham
ok i'm gonna head up to usf in like fifteen minutes,ham
u have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09058094565,spam
the greatest test of courage on earth is to bear defeat without losing heart....gn tc,ham
what are youdoing later? sar xxx,ham
have you laid your airtel line to rest?,ham
"i feel like a dick because i keep sleeping through your texts and facebook messages. sup, you in town?",ham
i'm meeting darren...,ham
k... must book a not huh? so going for yoga basic on sunday?,ham
"hey...great deal...farm tour 9am to 5pm $95/pax, $50 deposit by 16 may",ham
wow so healthy. old airport rd lor. cant thk of anything else. but i'll b bathing my dog later.,ham
awww dat is sweet! we can think of something to do he he! have a nice time tonight ill probably txt u later cos im lonely :( xxx.,ham
good afternoon starshine! how's my boytoy? does he crave me yet? ache to fuck me ? *sips cappuccino* i miss you babe *teasing kiss*,ham
see you there! ,ham
8007 free for 1st week! no1 nokia tone 4 ur mob every week just txt nokia to 8007 get txting and tell ur mates www.getzed.co.uk pobox 36504 w4 5wq norm 150p/tone 16+,spam
yar he quite clever but aft many guesses lor. he got ask me 2 bring but i thk darren not so willing 2 go. aiya they thk leona still not attach wat.,ham
i asked sen to come chennai and search for job.,ham
e admin building there? i might b slightly earlier... i'll call u when i'm reaching...,ham
i cant pick the phone right now. pls send a message,ham
i don't run away frm u... i walk slowly &amp; it kills me that u don't care enough to stop me...,ham
u buy newspapers already?,ham
did you see that film:),ham
how are you babes. hope your doing ok. i had a shit nights sleep. i fell asleep at 5.im knackered and im dreading work tonight. what are thou upto tonight. x,ham
"i'm an actor. when i work, i work in the evening and sleep late. since i'm unemployed at the moment, i always sleep late. when you're unemployed, every day is saturday.",ham
not enufcredeit tocall.shall ileave uni at 6 +get a bus to yor house?,ham
"i don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough …",ham
ü log off 4 wat. it's sdryb8i,ham
"good morning, im suffering from fever and dysentry ..will not be able to come to office today.",ham
slaaaaave ! where are you ? must i summon you to me all the time now ? don't you wish to come to me on your own anymore?,ham
"short but cute : "" be a good person , but dont try to prove"" ..... gud mrng...",ham
cheers for the card ... is it that time of year already?,ham
ugh my leg hurts. musta overdid it on mon.,ham
i want to sent  &lt;#&gt; mesages today. thats y. sorry if i hurts,ham
i cant keep talking to people if am not sure i can pay them if they agree to price. so pls tell me what you want to really buy and how much you are willing to pay,ham
u can call me now...,ham
u goin out 2nite?,ham
"don't worry though, i understand how important it is that i be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. brb gonna go kill myself",ham
yeah so basically any time next week you can get away from your mom &amp; get up before 3,ham
arun can u transfr me d amt,ham
please dont say like that. hi hi hi,ham
please call our customer service representative on freephone 0808 145 4742 between 9am-11pm as you have won a guaranteed £1000 cash or £5000 prize!,spam
waiting 4 my tv show 2 start lor... u leh still busy doing ur report?,ham
"you are everywhere dirt, on the floor, the windows, even on my shirt. and sometimes when i open my mouth, you are all that comes flowing out. i dream of my world without you, then half my chores are out too. a time of joy for me, lots of tv shows i.ll see. but i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",ham
cos darren say ü considering mah so i ask ü...,ham
"probably not, still going over some stuff here",ham
yeah it's jus rite...,ham
you can never do nothing,ham
"that day ü say ü cut ur hair at paragon, is it called hair sense? do ü noe how much is a hair cut? ",ham
"the gas station is like a block away from my house, you'll drive right by it since armenia ends at swann and you have to take howard",ham
"velly good, yes please!",ham
think + da. you wil do.,ham
i'm thinking that chennai forgot to come for auction..,ham
hey you can pay. with salary de. only  &lt;#&gt; .,ham
the message sent is askin for  &lt;#&gt; dollars. shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?,ham
btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude,ham
oops i was in the shower when u called. hey a parking garage collapsed at university hospital. see i'm not crazy. stuff like that does happen.,ham
we are supposed to meet to discuss abt our trip... thought xuhui told you? in the afternoon. thought we can go for lesson after that,ham
thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???,spam
thank you baby! i cant wait to taste the real thing...,ham
"what's up bruv, hope you had a great break. do have a rewarding semester.",ham
"sorry to trouble u again. can buy 4d for my dad again? 1405, 1680, 1843. all 2 big 1 small, sat n sun. thanx.",ham
hey! there's veggie pizza... :/,ham
they did't play one day last year know even though they have very good team.. like india.,ham
thanx...,ham
"i call you later, don't have network. if urgnt, sms me.",ham
yunny... i'm goin to be late,ham
"poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; .",ham
depends on where u going lor.,ham
i will cal you sir. in meeting,ham
thanx 4 2day! u r a goodmate i think ur rite sary! asusual!1 u cheered me up! love u franyxxxxx,ham
dun need to use dial up juz open da browser n surf...,ham
"good afternoon, my love. it was good to see your words on ym and get your tm. very smart move, my slave ... *smiles* ... i drink my coffee and await you.",ham
"madam,regret disturbance.might receive a reference check from dlf premarica.kindly be informed.rgds,rakhesh,kerala.",ham
thts god's gift for birds as humans hav some natural gift frm god..,ham
cheers for the message zogtorius. ive been staring at my phone for an age deciding whether to text or not.,ham
i wont do anything de.,ham
"well, i'm gonna finish my bath now. have a good...fine night.",ham
my sister got placed in birla soft da:-),ham
"isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. i jst did it.. takecare..:) goodmorning",ham
ü only send me the contents page...,ham
why she wants to talk to me,ham
"awesome, text me when you're restocked",ham
where are you lover ? i need you ...,ham
olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement. hopefully they dont ignore that.,ham
no we sell it all so we'll have tons if coins. then sell our coins to someone thru paypal. voila! money back in life pockets:),ham
"no dice, art class 6 thru 9 :( thanks though. any idea what time i should come tomorrow?",ham
k ill drink.pa then what doing. i need srs model pls send it to my mail id pa.,ham
"she was supposed to be but couldn't make it, she's still in town though",ham
cashbin.co.uk (get lots of cash this weekend!) www.cashbin.co.uk dear welcome to the weekend we have got our biggest and best ever cash give away!! these..,spam
hope you are having a good week. just checking in,ham
"had your mobile 10 mths? update to the latest camera/video phones for free. keep ur same number, get extra free mins/texts. text yes for a call",spam
"are you being good, baby? :)",ham
"it's fine, imma get a drink or somethin. want me to come find you?",ham
horrible u eat macs eat until u forgot abt me already rite... u take so long 2 reply. i thk it's more toot than b4 so b prepared. now wat shall i eat?,ham
it's justbeen overa week since we broke up and already our brains are going to mush!,ham
when ü login dat time... dad fetching ü home now?,ham
yup i'm free...,ham
great. p diddy is my neighbor and comes for toothpaste every morning,ham
i really need 2 kiss u i miss u my baby from ur baby 4eva,ham
"hey babe! i saw you came online for a second and then you disappeared, what happened ?",ham
who u talking about?,ham
havent.,ham
no b4 thursday,ham
i am great! how are you?,ham
"babe, have you got enough money to pick up bread and milk ? and i'll give you it back when you get home ?",ham
misplaced your number and was sending texts to your old number. wondering why i've not heard from you this year. all the best in your mcat. got this number from my atlanta friends,ham
yo im right by yo work,ham
"ooh, 4got, i'm gonna start belly dancing in moseley weds 6.30 if u want 2 join me, they have a cafe too. ",ham
at home watching tv lor.,ham
"i don't think i can get away for a trek that long with family in town, sorry",ham
"the fact that you're cleaning shows you know why i'm upset. your priority is constantly ""what i want to do,"" not ""what i need to do.""",ham
"sorry about earlier. putting out fires.are you around to talk after 9? or do you actually have a life, lol!",ham
watching tv now. i got new job :),ham
i miss you so much i'm so desparate i have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. i love you,ham
ok lor then we go tog lor...,ham
your brother is a genius,ham
oh sorry please its over,ham
:) ,ham
free for 1st week! no1 nokia tone 4 ur mobile every week just txt nokia to 8077 get txting and tell ur mates. www.getzed.co.uk pobox 36504 w45wq 16+ norm150p/tone,spam
"life alle mone,eppolum oru pole allalo",ham
dunno lei... i thk mum lazy to go out... i neva ask her yet...,ham
"babe, i need your advice",ham
"thanks for your ringtone order, ref number k718. your mobile will be charged £4.50. should your tone not arrive please call customer services on 09065069120",spam
ho ho - big belly laugh! see ya tomo,ham
camera - you are awarded a sipix digital camera! call 09061221066 fromm landline. delivery within 28 days.,spam
yes baby! i need to stretch open your pussy!,ham
"nope, i'm still in the market",ham
i accidentally deleted the message. resend please.,ham
meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. also i don't think doug realizes i don't live here anymore,ham
"machan you go to gym tomorrow,  i wil come late goodnight.",ham
"hey sexy buns ! have i told you ? i adore you, loverboy. i hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe",ham
o we cant see if we can join denis and mina? or does denis want alone time,ham
07732584351 - rodger burns - msg = we tried to call you re your reply to our sms for a free nokia mobile + free camcorder. please call now 08000930705 for delivery tomorrow,spam
"uh, heads up we don't have that much left",ham
"k, i might come by tonight then if my class lets out early",ham
please call our customer service representative on freephone 0808 145 4742 between 9am-11pm as you have won a guaranteed £1000 cash or £5000 prize!,spam
oh gei. that happend to me in tron. maybe ill dl it in 3d when its out,ham
i've reached home n i bathe liao... u can call me now...,ham
ummmmmaah many many happy returns of d day my dear sweet heart.. happy birthday dear,ham
okie...,ham
i like cheap! but i‘m happy to splash out on the wine if it makes you feel better..,ham
do u knw dis no. &lt;#&gt; ?,ham
i like to talk pa but am not able to. i dont know y.,ham
my drive can only be read. i need to write,ham
i have many dependents,ham
ok lar... joking wif u oni...,ham
ugh hopefully the asus ppl dont randomly do a reformat.,ham
i'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),ham
show ur colours! euro 2004 2-4-1 offer! get an england flag & 3lions tone on ur phone! click on the following service message for info!,spam
lol that would be awesome payback.,ham
"yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. can you just please find some other way to get what you wanted us to get. please forgive me. you can reply free via yahoo messenger.",ham
thats cool princess! i will cover your face in hot sticky cum :),ham
warner village 83118 c colin farrell in swat this wkend @warner village & get 1 free med. popcorn!just show msg+ticket@kiosk.valid 4-7/12. c t&c @kiosk. reply sony 4 mre film offers,spam
